FNSKU,Date,units_sold,inventory_level
X002QDWKDZ,2024-05-30,2.0,187.0
X002QDY6S7,2024-05-30,,0.0
X002QHE2OL,2024-05-30,,9.0
X002R36WHJ,2024-05-30,,186.0
X002XRLKTJ,2024-05-30,1.0,1.0
X002XS22HR,2024-05-30,,1.0
X00308MQNJ,2024-05-30,,204.0
X0032IPGMZ,2024-05-30,,3.0
X0033GGGYN,2024-05-30,,334.0
X0033WPNNH,2024-05-30,,1534.0
X0033WUSMN,2024-05-30,,35.0
X00345CTET,2024-05-30,,133.0
X00345CV97,2024-05-30,,57.0
X00345I17N,2024-05-30,,1.0
X0034Y231T,2024-05-30,,6.0
X0034Y233H,2024-05-30,,43.0
X0034Y3JYJ,2024-05-30,,1.0
X0039U5GIZ,2024-05-30,,7.0
X0039VNZN7,2024-05-30,,48.0
X0039VP7A1,2024-05-30,,2.0
X0039VT0DL,2024-05-30,,14.0
X003CYX7YD,2024-05-30,,1.0
X003CYXF3B,2024-05-30,,4.0
X003CZT935,2024-05-30,,3.0
X003D00CA3,2024-05-30,,11.0
X003D03T17,2024-05-30,,5.0
X003D06K31,2024-05-30,,1.0
X003D06K45,2024-05-30,,1.0
X003D08K7F,2024-05-30,1.0,41.0
X003D08K7P,2024-05-30,,10.0
X003D0IC1T,2024-05-30,,15.0
X003D0T7YF,2024-05-30,,2.0
X003D11OR7,2024-05-30,,4.0
X003D13CWR,2024-05-30,,1.0
X003D1879F,2024-05-30,,72.0
X003D18F0V,2024-05-30,1.0,19.0
X003DTG4RJ,2024-05-30,,48.0
X003DTG4RT,2024-05-30,,245.0
X003DTKRJF,2024-05-30,,49.0
X003DTMYS7,2024-05-30,,100.0
X003DTMYSH,2024-05-30,,3.0
X003DTNF85,2024-05-30,,5.0
X003F3HIFF,2024-05-30,,28.0
X003IVKM9X,2024-05-30,,0.0
X003K9N8RL,2024-05-30,,2.0
X003UBKEH1,2024-05-30,,1.0
X003UMLL81,2024-05-30,,7.0
X003UMSI55,2024-05-30,,18.0
X003UMUR2R,2024-05-30,,70.0
X003UMWUX1,2024-05-30,,6.0
X003UMX0SZ,2024-05-30,1.0,3.0
X003UMZ9MZ,2024-05-30,,34.0
X003UND9GH,2024-05-30,,40.0
X003UOSWRH,2024-05-30,,1.0
X003UPEQFD,2024-05-30,,13.0
X003UPIT83,2024-05-30,,3.0
X003UPODAB,2024-05-30,1.0,0.0
X003USHJTZ,2024-05-30,,1.0
X003UTA0ZT,2024-05-30,,38.0
X003UTDTJN,2024-05-30,,5.0
X003UUGOGH,2024-05-30,1.0,2.0
X003UUGOI5,2024-05-30,,1.0
X003UUJ8NX,2024-05-30,1.0,5.0
X003UUJ8P1,2024-05-30,,1.0
X003UUJ8PV,2024-05-30,,7.0
X003UUJ8Q5,2024-05-30,,5.0
X003UUK9OP,2024-05-30,,6.0
X003UUK9P9,2024-05-30,,15.0
X003UUK9QN,2024-05-30,,5.0
X003UUK9SL,2024-05-30,,8.0
X003UUKCNX,2024-05-30,,5.0
X003UUKCOH,2024-05-30,,10.0
X003UUKCQF,2024-05-30,,4.0
X003UUL2KF,2024-05-30,,1.0
X003UUNWOJ,2024-05-30,,1.0
X003UUPDV9,2024-05-30,,6.0
X003UWAYS9,2024-05-30,,25.0
X003UWKGPP,2024-05-30,,51.0
X003UWKGPZ,2024-05-30,2.0,63.0
X003X5S4IZ,2024-05-30,,1.0
X003XR1NIB,2024-05-30,,7.0
X003XR1NIL,2024-05-30,,7.0
X003XREVNZ,2024-05-30,,6.0
X003XREVO9,2024-05-30,,7.0
X003XRFY5J,2024-05-30,,11.0
X003XRFY5T,2024-05-30,,7.0
X003XRFY63,2024-05-30,,4.0
X003XRIQBN,2024-05-30,,5.0
X003XRIQBX,2024-05-30,,6.0
X003XWDWPN,2024-05-30,,5.0
X003XWDWQH,2024-05-30,,2.0
X003XY1BM7,2024-05-30,,8.0
X0040WNCKF,2024-05-30,,43.0
X0040WND2H,2024-05-30,,13.0
X002QDWKDZ,2024-05-31,,187.0
X002QDY6S7,2024-05-31,,1.0
X002QHE2OL,2024-05-31,,9.0
X002R36WHJ,2024-05-31,,186.0
X002XRLKTJ,2024-05-31,1.0,1.0
X002XS22HR,2024-05-31,,1.0
X00308MQNJ,2024-05-31,2.0,202.0
X0032IPGMZ,2024-05-31,,3.0
X0033GGGYN,2024-05-31,,334.0
X0033WPNNH,2024-05-31,2.0,1533.0
X0033WUSMN,2024-05-31,,35.0
X00345CTET,2024-05-31,1.0,132.0
X00345CV97,2024-05-31,1.0,56.0
X00345I17N,2024-05-31,,1.0
X0034Y231T,2024-05-31,,6.0
X0034Y233H,2024-05-31,,43.0
X0034Y3JYJ,2024-05-31,,1.0
X0039U5GIZ,2024-05-31,,7.0
